公司,股票代码,业态,财年,营业收入_亿元,营收同比,归母净利润_亿元,净利同比,毛利率,规模/门店指标,口径备注,来源
金域医学,603882.SS,第三方检验ICL,2022,154.79,—,27.53,—,—,含大规模新冠筛查收入,新冠高峰，与常态化不可比,S2
金域医学,603882.SS,第三方检验ICL,2023,85.40,-44.82%,6.43,-76.64%,—,—,新冠退潮回落,S2
金域医学,603882.SS,第三方检验ICL,2024,71.90,-15.81%,-3.81,-159.26%,—,2024信用减值损失约6.5-7.2亿,上市以来首次年度亏损,S2/S3
迪安诊断,300244.SZ,第三方检验ICL,2024,121.96,—,-3.57,—,—,ICL业务41.73亿/诊断服务45.20亿/产品81.34亿,营收含产品代理低毛利、口径与金域不同,S4
爱尔眼科,300015.SZ,民营专科(眼科),2024,209.83,3.02%,35.56,5.87%,48.12%,门诊1694.07万人次/手术129.47万例,扣非净利30.99亿(-11.82%)首次下滑;毛利率近五年首破50%,S1
通策医疗,600763.SS,民营专科(口腔),2024,28.74,0.96%,5.01,0.20%,—,门诊353.34万人次/89家机构/约3100台牙椅,扣非净利4.96亿(+3.18%);区域深耕浙江,S5
益丰药房,603939.SS,零售药房,2024,240.62,—,15.29,—,—,门店14684家(+10.82%),增收但增速降至个位数,S6
老百姓,603883.SS,零售药房,2024,223.58,-0.36%,5.19,-44.13%,—,门店约1.5万家,增收不增利、行业深度调整,S7
