source_来源,scope_口径,year_年份,size_规模,size_in_cny_亿元折算,fx_汇率口径,bias_note_偏向备注,source_id
前瞻产业研究院,IVD整体(设备+试剂,较宽),2023,约1185亿元,1185,人民币原值,国内产业研究机构;较宽口径;原文确认值,T4
前瞻产业研究院,IVD整体(设备+试剂,较宽),2024,约1200-1285亿元,1240,人民币原值,按前瞻CAGR推算(非原文实测);CAIVD实测<1200亿,T4
中金企信(新浪财经转引),体外诊断用医疗器械(最宽),2024,约1356亿元,1356,人民币原值,免疫诊断占42%;口径最宽,T5
CAIVD中国体外诊断行业年度报告(2024版),IVD整体(行业协会),2024,<1200亿元,1200,人民币原值,与2023基本持平;行业协会口径,T6
Grand View Research,China IVD(较窄口径),2023,约55亿美元,396,按约7.2汇率折算,英文市场研究;窄口径;与Spherical同量级,T7
Spherical Insights,China IVD(较窄口径,下沿),2024,约58亿美元,420,按约7.2汇率折算,较窄口径;同年最低值,T8
