seller_cn,seller_ticker,asset,modality,announce_date,buyer,upfront_usd_m,near_term_contingent_usd_m,milestone_usd_m,total_biodollar_usd_m,upfront_pct,equity_stake,royalty,territory_to_buyer,china_retained,source
百利天恒/SystImmune,688506.SH,BL-B01D1,EGFR×HER3 双抗 ADC,2023-12-11,BMS,800,500,7100,8400,9.5%,无,美国市场利润分成,美国(co-dev)+美国及中国大陆以外全球独占,中国大陆权益保留,百利天恒公告/futunn/phirda
康方生物,9926.HK,ivonescimab 依沃西(AK112/SMT112),PD-1×VEGF 双抗,2022-12-06,Summit Therapeutics,500,0,4500,5000,10.0%,无,低双位数销售分成,美/加/欧/日,其余地区含中国保留,Akeso官网/PRNewswire/Summit 8-K
恒瑞医药,600276.SS,GLP-1 三资产组合(HRS953/HRS-7535/HRS-4729),GLP-1/GIP及口服小分子,2024-05-16,Hercules/Kailera(NewCo),110,0,6000,6110,1.8%,约19.9% Kailera股权,有(分层),大中华区以外全球,大中华区保留,Cooley/BioPharma Dive/Bamboo Works
恒瑞医药,600276.SS,HRS-9821(PDE3/4慢阻肺)+至多11个选择权项目,PDE3/4 小分子等多模态,2025-07,GSK,500,0,12000,12500,4.0%,无,分层销售分成,除大中华区外全球独占,大中华区(含港澳台)保留,GSK官网/PRNewswire 302514566/GSK 6-K
全年合计(2024),—,94笔加总,多模态,2024,多家MNC,4100,—,—,51900,7.9%,—,—,—,—,医药魔方/PharmaCube 2024年度统计
